State/UT,confirmed,recovered,death
AN,33,33,0
AP,3117,2065,58
AR,2,1,0
AS,784,88,5
BR,3036,918,15
CH,279,187,4
CT,364,83,0
DN,2,1,0
DD,2,0,0
DL,15257,7264,303
GA,68,37,0
GJ,15205,7549,938
HR,1381,837,18
HP,273,67,6
JK,1921,854,26
JH,458,191,4
KA,2418,765,47
KL,1004,552,7
LA,54,43,0
LD,0,0,0
MP,7261,3927,314
MH,56948,17918,1896
MN,2,4,0
ML,20,12,1
MZ,1,1,0
NL,9,0,0
OR,1593,812,7
PY,49,17,0
PB,2139,1918,40
RJ,7816,4562,171
SK,1,0,0
TN,18545,9909,136
TG,2098,1321,63
TR,241,165,0
UP,6991,3991,182
UT,469,79,4
WB,4192,1578,289
